name,startnumber,team,shortname,nationality,Column1
CHRIS FROOME,1,TEAM SKY,C. FROOM, Great Britain,SKY
EGAN ARLEY BERNAL GOMEZ,2,TEAM SKY,E. ARLEY BERNAL GOME, Colombia,SKY
JONATHAN CASTROVIEJO,3,TEAM SKY,J. CASTROVIEJ, Spain,SKY
MICHAL KWIATKOWSKI,4,TEAM SKY,M. KWIATKOWSK, Poland,SKY
WOUT POELS,6,TEAM SKY,W. POEL, Netherlands,SKY
LUKE ROWE,7,TEAM SKY,L. ROW, Great Britain,SKY
GERAINT THOMAS,8,TEAM SKY,G. THOMA, Great Britain,SKY
SIMON CLARKE,12,Team EF Education First-Drapac p/b Cannondale,S. CLARK, Australia,EFD
LAWSON CRADDOCK,13,Team EF Education First-Drapac p/b Cannondale,L. CRADDOC, United States,EFD
DANIEL FELIPE MARTINEZ POVEDA,14,Team EF Education First-Drapac p/b Cannondale,D. FELIPE MARTINEZ POVED, Colombia,EFD
TAYLOR PHINNEY,15,Team EF Education First-Drapac p/b Cannondale,T. PHINNE, United States,EFD
PIERRE ROLLAND,16,Team EF Education First-Drapac p/b Cannondale,P. ROLLAN, France,EFD
TOM SCULLY,17,Team EF Education First-Drapac p/b Cannondale,T. SCULL, New Zealand,EFD
SEP VANMARCKE,18,Team EF Education First-Drapac p/b Cannondale,S. VANMARCK, Belgium,EFD
ROMAIN BARDET,21,AG2R LA MONDIALE,R. BARDE, France,ALM
SILVAN DILLIER,22,AG2R LA MONDIALE,S. DILLIE,  Switzerland,ALM
MATHIAS FRANK,24,AG2R LA MONDIALE,M. FRAN,  Switzerland,ALM
PIERRE ROGER LATOUR,26,AG2R LA MONDIALE,P. ROGER LATOU, France,ALM
OLIVER NAESEN,27,AG2R LA MONDIALE,O. NAESE, Belgium,ALM
TOM DUMOULIN,32,TEAM SUNWEB,T. DUMOULI, Netherlands,SUN
NIKIAS ARNDT,33,TEAM SUNWEB,N. ARND, Germany,SUN
SIMON GESCHKE,34,TEAM SUNWEB,S. GESCHK, Germany,SUN
CHAD HAGA,35,TEAM SUNWEB,C. HAG, United States,SUN
SØREN KRAGH ANDERSEN,36,TEAM SUNWEB,S. KRAGH ANDERSE, Denmark,SUN
LAURENS TEN DAM,37,TEAM SUNWEB,L. TEN DA, Netherlands,SUN
EDWARD THEUNS,38,TEAM SUNWEB,E. THEUN, Belgium,SUN
WARREN BARGUIL,41,TEAM FORTUNEO - SAMSIC,W. BARGUI, France,FST
MAXIME BOUET,42,TEAM FORTUNEO - SAMSIC,M. BOUE, France,FST
ELIE GESBERT,43,TEAM FORTUNEO - SAMSIC,E. GESBER, France,FST
ROMAIN HARDY,44,TEAM FORTUNEO - SAMSIC,R. HARD, France,FST
KEVIN LEDANOIS,45,TEAM FORTUNEO - SAMSIC,K. LEDANOI, France,FST
AMAEL MOINARD,46,TEAM FORTUNEO - SAMSIC,A. MOINAR, France,FST
LAURENT PICHON,47,TEAM FORTUNEO - SAMSIC,L. PICHO, France,FST
FLORIAN VACHON,48,TEAM FORTUNEO - SAMSIC,F. VACHO, France,FST
SONNY COLBRELLI,52,Bahrain Merida Pro Cycling Team,S. COLBRELL, Italy,TBM
HEINRICH HAUSSLER,53,Bahrain Merida Pro Cycling Team,H. HAUSSLE, Australia,TBM
GORKA IZAGUIRRE INSAUSTI,54,Bahrain Merida Pro Cycling Team,G. IZAGUIRRE INSAUST, Spain,TBM
JON IZAGUIRRE INSAUSTI,55,Bahrain Merida Pro Cycling Team,J. IZAGUIRRE INSAUST, Spain,TBM
KRISTIJAN KOREN,56,Bahrain Merida Pro Cycling Team,K. KORE, Slovenia,TBM
FRANCO PELLIZOTTI,57,Bahrain Merida Pro Cycling Team,F. PELLIZOTT, Italy,TBM
DOMENICO POZZOVIVO,58,Bahrain Merida Pro Cycling Team,D. POZZOVIV, Italy,TBM
ADAM YATES,61,Mitchelton-Scott,A. YATE, Great Britain,MTS
JACK BAUER,62,Mitchelton-Scott,J. BAUE, New Zealand,MTS
LUKE DURBRIDGE,63,Mitchelton-Scott,L. DURBRIDG, Australia,MTS
MATHEW HAYMAN,64,Mitchelton-Scott,M. HAYMA, Australia,MTS
MICHAEL HEPBURN,65,Mitchelton-Scott,M. HEPBUR, Australia,MTS
DARYL IMPEY,67,Mitchelton-Scott,D. IMPE, South Africa,MTS
