T. DUMOULIN 
C. FROOME 
G. THOMAS 
M. KWIATKOWSKI 
S. KRAGH ANDERSEN 
B. JUNGELS 
I. ZAKARIN 
P. ROGLIC 
M. SOLER 
M. HEPBURN 
A. YATES 
S. KÜNG 
D. CARUSO 
J. CASTROVIEJO 
J. IZAGUIRRE INSAUSTI 
S. KRUIJSWIJK 
W. POELS 
S. GESCHKE 
A. VALVERDE 
N. POLITT 
D. FELIPE MARTINEZ POVEDA 
R. BARDET 
C. HAGA 
R. MAJKA 
E. ARLEY BERNAL GOMEZ 
N. ARNDT 
P. ROGER LATOUR 
T. DE GENDT 
T. VAN GARDEREN 
J. HERRADA 
S. CHAVANEL 
L. DURBRIDGE 
T. DEGAND 
D. MARTIN 
D. GAUDU 
D. POZZOVIVO 
G. IZAGUIRRE INSAUSTI 
S. DILLIER 
A. VICHOT 
J. FUGLSANG 
N. EDET 
G. MÜHLBERGER 
O. FRAILE MATARRANZ 
M. BURGHARDT 
M. LANDA MEANA 
M. SCHÄR 
J. BERNARD 
T. LUDVIGSSON 
W. BARGUIL 
T. KANGERT 
D. NAVARRO GARCIA 
I. ERVITI 
L. CALMEJANE 
M. BODNAR 
K. DE KORT 
T. SKUJINS 
E. THEUNS 
J. ALAPHILIPPE 
R. SICARD 
A. PEREZ 
M. BOUET 
M. NIEVE ITURRALDE 
R. GESINK 
J. HANSEN 
T. MARCZYNSKI 
J. VERMOTE 
M. MARCATO 
A. GRØNDAHL JANSEN 
N. QUINTANA 
F. PELLIZOTTI 
A. TOLHOEK 
J. STUYVEN 
R. MOLARD 
P. ROLLAND 
L. TEN DAM 
G. MARTIN 
D. SMITH 
M. VALGREN ANDERSEN 
L. PICHON 
J. COUSIN 
J. SIMON 
T. SLAGTER 
S. CLARKE 
M. MINNAARD 
M. HAYMAN 
Y. LAMPAERT 
G. VAN AVERMAET 
F. VACHON 
K. ÐURASEK 
J. ROBERT THOMSON 
P. KOCHETKOV 
A. AMADOR 
D. IMPEY 
J. DEGENKOLB 
T. SCULLY 
P. MARTENS 
K. LEDANOIS 
O. NAESEN 
K. KOREN 
S. GERRANS 
G. VAN KEIRSBULCK 
S. COLBRELLI 
P. POLJANSKI 
E. GESBERT 
D. OSS 
H. HAUSSLER 
J. DARWIN ATAPUMA HURTADO 
A. TURGIS 
M. CORT NIELSEN 
E. BOASSON HAGEN 
B. MOLLEMA 
L. ROWE 
T. ROOSEN 
F. GRELLIER 
R. HARDY 
J. BAUER 
A. MOINARD 
T. DUPONT 
I. BOSWELL 
R. JANSE VAN RENSBURG 
Y. OFFREDO 
C. LAPORTE 
T. BOUDAT 
O. LE GAC 
M. ARIEL RICHEZE 
M. GOGL 
L. CRADDOCK 
M. FRANK 
D. CLAEYS 
O. TROIA 
L. PÖSTLBERGER 
J. GUARNIERI 
R. SUTHERLAND 
D. BENNATI 
P. SAGAN 
R. SINKELDAM 
A. KRISTOFF 
R. FERRARI 
D. GAUDIN 
T. PHINNEY 
J. DE BUYST 
S. VANMARCKE 
A. DEMARE 
A. PASQUALON 
N. TERPSTRA 
